target,category,priority,status,target_url,landing_page,contact,next_action,notes
Vanuatu Tourism Office,local tourism directory,high,not_started,https://www.vanuatu.travel/,https://acetoursvanuatu.com/efate-island-day-tours,,Request or update operator listing,Highest-authority local tourism citation
Tripadvisor,review/OTA,high,not_started,https://www.tripadvisor.com/,https://acetoursvanuatu.com/tours,,Claim listing and add website link,Also reply to all existing reviews
Viator,OTA,high,not_started,https://www.viator.com/,https://acetoursvanuatu.com/port-vila-airport-transfers,,Confirm supplier/operator profile links to site,Sales channel plus authority signal
GetYourGuide,OTA,high,not_started,https://www.getyourguide.com/,https://acetoursvanuatu.com/efate-island-day-tours,,Create supplier listing or product listings,Useful for commercial tour keywords
Bing Places,local search,medium,not_started,https://www.bingplaces.com/,https://acetoursvanuatu.com/,,Create or import from Google Business Profile,Covers Bing and DuckDuckGo surfaces
Yellow Pages Vanuatu,local directory,medium,not_started,,https://acetoursvanuatu.com/port-vila-private-transfers,,Submit exact NAP citation,Use identical business details
Port Vila hotels and resorts,partner links,high,not_started,,https://acetoursvanuatu.com/port-vila-airport-transfers,,Ask for getting-here or recommended-transfer link,Prioritize hotels that already use Ace transfers
Cruise port guides,travel roundups,medium,not_started,,https://acetoursvanuatu.com/port-vila-private-transfers,,Pitch wharf transfer and shore tour guide,Useful for cruise transfer searches
Vanuatu travel bloggers,earned media,medium,not_started,,https://acetoursvanuatu.com/blue-lagoon-vanuatu-tour,,Pitch local tips or quote for itinerary articles,Offer useful local detail not generic copy
Facebook profile,social citation,medium,not_started,https://www.facebook.com/acetoursvanuatu,https://acetoursvanuatu.com/,,Ensure website phone email and address match,Keep NAP consistent
Instagram profile,social citation,medium,not_started,https://www.instagram.com/acetoursvanuatu/,https://acetoursvanuatu.com/,,Ensure website phone email and bio link match,Keep NAP consistent
